# rust-symbols modules | 2026-03-24T06:27:26Z
# crate|module_path|file|pub_count|kinds|doc
beacon_chain|execution_payload|beacon_node/beacon_chain/src/execution_payload.rs|10|1enum,6fn,1struct,2type|This module contains various functions for producing and verifying `ExecutionPayloads`.
beacon_chain|fetch_blobs::fetch_blobs_beacon_adapter|beacon_node/beacon_chain/src/fetch_blobs/fetch_blobs_beacon_adapter.rs|13|12fn,1struct|
beacon_chain|fetch_blobs|beacon_node/beacon_chain/src/fetch_blobs/mod.rs|3|2enum,1fn|This module implements an optimisation to fetch blobs via JSON-RPC from the EL.
beacon_chain|fork_choice_signal|beacon_node/beacon_chain/src/fork_choice_signal.rs|7|1enum,4fn,2struct|Concurrency helpers for synchronising block proposal with fork choice.
beacon_chain|graffiti_calculator|beacon_node/beacon_chain/src/graffiti_calculator.rs|8|2enum,5fn,1struct|
beacon_chain|historical_blocks|beacon_node/beacon_chain/src/historical_blocks.rs|2|1enum,1fn|
beacon_chain|historical_data_columns|beacon_node/beacon_chain/src/historical_data_columns.rs|2|1enum,1fn|
beacon_chain|invariants|beacon_node/beacon_chain/src/invariants.rs|1|1fn|Beacon chain database invariant checks.
beacon_chain|kzg_utils|beacon_node/beacon_chain/src/kzg_utils.rs|13|13fn|
beacon_chain||beacon_node/beacon_chain/src/lib.rs|47|47mod|
beacon_chain|light_client_finality_update_verification|beacon_node/beacon_chain/src/light_client_finality_update_verification.rs|3|1enum,1fn,1struct|
beacon_chain|light_client_optimistic_update_verification|beacon_node/beacon_chain/src/light_client_optimistic_update_verification.rs|3|1enum,1fn,1struct|
beacon_chain|light_client_server_cache|beacon_node/beacon_chain/src/light_client_server_cache.rs|14|13fn,1struct|
beacon_chain|metrics|beacon_node/beacon_chain/src/metrics.rs|7|6const,1fn|
beacon_chain|migrate|beacon_node/beacon_chain/src/migrate.rs|20|1const,3enum,11fn,5struct|
beacon_chain|naive_aggregation_pool|beacon_node/beacon_chain/src/naive_aggregation_pool.rs|16|2enum,9fn,4struct,1trait|
beacon_chain|observed_aggregates|beacon_node/beacon_chain/src/observed_aggregates.rs|16|2enum,7fn,2struct,3trait,2type|Provides an `ObservedAggregates` struct which allows us to reject aggregated attestations or
beacon_chain|observed_attesters|beacon_node/beacon_chain/src/observed_attesters.rs|28|1const,1enum,14fn,7struct,1trait,4type|Provides two structs that help us filter out attestation gossip from validators that have
beacon_chain|observed_block_producers|beacon_node/beacon_chain/src/observed_block_producers.rs|11|2enum,7fn,2struct|Provides the `ObservedBlockProducers` struct which allows for rejecting gossip blocks from
beacon_chain|observed_data_sidecars|beacon_node/beacon_chain/src/observed_data_sidecars.rs|17|2enum,10fn,3struct,2trait|Provides the `ObservedBlobSidecars` struct which allows for rejecting `BlobSidecar`s
beacon_chain|observed_operations|beacon_node/beacon_chain/src/observed_operations.rs|8|1const,1enum,4fn,1struct,1trait|
beacon_chain|observed_slashable|beacon_node/beacon_chain/src/observed_slashable.rs|5|3fn,2struct|Provides the `ObservedSlashable` struct which tracks slashable messages seen in
beacon_chain|payload_envelope_verification::execution_pending_envelope|beacon_node/beacon_chain/src/payload_envelope_verification/execution_pending_envelope.rs|2|1fn,1struct|
beacon_chain|payload_envelope_verification::gossip_verified_envelope|beacon_node/beacon_chain/src/payload_envelope_verification/gossip_verified_envelope.rs|7|5fn,2struct|
beacon_chain|payload_envelope_verification::import|beacon_node/beacon_chain/src/payload_envelope_verification/import.rs|2|2fn|
beacon_chain|payload_envelope_verification|beacon_node/beacon_chain/src/payload_envelope_verification/mod.rs|15|3enum,5fn,3mod,4struct|The incremental processing steps (e.g., signatures verified but not the state transition) is
beacon_chain|payload_envelope_verification::payload_notifier|beacon_node/beacon_chain/src/payload_envelope_verification/payload_notifier.rs|3|2fn,1struct|
beacon_chain|pending_payload_envelopes|beacon_node/beacon_chain/src/pending_payload_envelopes.rs|10|1const,8fn,1struct|Provides the `PendingPayloadEnvelopes` cache for storing execution payload envelopes
beacon_chain|persisted_beacon_chain|beacon_node/beacon_chain/src/persisted_beacon_chain.rs|1|1struct|
beacon_chain|persisted_custody|beacon_node/beacon_chain/src/persisted_custody.rs|4|1const,2fn,1struct|
beacon_chain|persisted_fork_choice|beacon_node/beacon_chain/src/persisted_fork_choice.rs|5|3fn,1struct,1type|
beacon_chain|pre_finalization_cache|beacon_node/beacon_chain/src/pre_finalization_cache.rs|6|5fn,1struct|
beacon_chain|proposer_prep_service|beacon_node/beacon_chain/src/proposer_prep_service.rs|1|1fn|
beacon_chain|schema_change|beacon_node/beacon_chain/src/schema_change.rs|1|1fn|Utilities for managing database schema changes.
beacon_chain|schema_change::migration_schema_v23|beacon_node/beacon_chain/src/schema_change/migration_schema_v23.rs|5|1const,2fn,2struct|
beacon_chain|schema_change::migration_schema_v24|beacon_node/beacon_chain/src/schema_change/migration_schema_v24.rs|10|1const,7fn,2struct|
beacon_chain|schema_change::migration_schema_v25|beacon_node/beacon_chain/src/schema_change/migration_schema_v25.rs|3|1const,2fn|
beacon_chain|schema_change::migration_schema_v26|beacon_node/beacon_chain/src/schema_change/migration_schema_v26.rs|4|2fn,2struct|
beacon_chain|schema_change::migration_schema_v27|beacon_node/beacon_chain/src/schema_change/migration_schema_v27.rs|2|2fn|
beacon_chain|schema_change::migration_schema_v28|beacon_node/beacon_chain/src/schema_change/migration_schema_v28.rs|2|2fn|
beacon_chain|shuffling_cache|beacon_node/beacon_chain/src/shuffling_cache.rs|15|1const,1enum,10fn,2struct,1trait|
beacon_chain|single_attestation|beacon_node/beacon_chain/src/single_attestation.rs|1|1fn|
beacon_chain|state_advance_timer|beacon_node/beacon_chain/src/state_advance_timer.rs|4|4fn|Provides a timer which runs in the tail-end of each slot and maybe advances the state of the
beacon_chain|summaries_dag|beacon_node/beacon_chain/src/summaries_dag.rs|16|1enum,12fn,3struct|
beacon_chain|sync_committee_rewards|beacon_node/beacon_chain/src/sync_committee_rewards.rs|1|1fn|
beacon_chain|sync_committee_verification|beacon_node/beacon_chain/src/sync_committee_verification.rs|16|1enum,12fn,3struct|Provides verification for the following sync committee messages:
beacon_chain|test_utils|beacon_node/beacon_chain/src/test_utils.rs|150|4const,6enum,127fn,3struct,10type|
beacon_chain|validator_monitor|beacon_node/beacon_chain/src/validator_monitor.rs|69|5const,1enum,58fn,5struct|Provides detailed logging and metrics for a set of registered validators.
beacon_chain|validator_pubkey_cache|beacon_node/beacon_chain/src/validator_pubkey_cache.rs|13|11fn,2struct|
beacon_node|cli|beacon_node/src/cli.rs|1|1fn|
beacon_node|config|beacon_node/src/config.rs|5|5fn|
beacon_node||beacon_node/src/lib.rs|5|3fn,1struct,1type|
beacon_node_fallback|beacon_head_monitor|validator_client/beacon_node_fallback/src/beacon_head_monitor.rs|8|6fn,2struct|
beacon_node_fallback|beacon_node_health|validator_client/beacon_node_fallback/src/beacon_node_health.rs|13|3enum,7fn,3struct|
beacon_node_fallback||validator_client/beacon_node_fallback/src/lib.rs|31|3enum,20fn,2mod,6struct|Allows for a list of `BeaconNodeHttpClient` to appear as a single entity which will exhibits
beacon_processor||beacon_node/beacon_processor/src/lib.rs|28|2const,3enum,8fn,1mod,10struct,4type|Provides the `BeaconProcessor`, a multi-threaded processor for messages received on the network
beacon_processor|scheduler|beacon_node/beacon_processor/src/scheduler/mod.rs|2|2mod|
beacon_processor|scheduler::work_queue|beacon_node/beacon_processor/src/scheduler/work_queue.rs|17|13fn,4struct|
beacon_processor|scheduler::work_reprocessing_queue|beacon_node/beacon_processor/src/scheduler/work_reprocessing_queue.rs|22|8const,2enum,3fn,8struct,1type|Provides a mechanism which queues work for later processing.
bls|generic_aggregate_public_key|crypto/bls/src/generic_aggregate_public_key.rs|4|2fn,1struct,1trait|
bls|generic_aggregate_signature|crypto/bls/src/generic_aggregate_signature.rs|15|1const,12fn,1struct,1trait|
bls|generic_keypair|crypto/bls/src/generic_keypair.rs|3|2fn,1struct|
bls|generic_public_key|crypto/bls/src/generic_public_key.rs|13|3const,8fn,1struct,1trait|
bls|generic_public_key_bytes|crypto/bls/src/generic_public_key_bytes.rs|7|6fn,1struct|
bls|generic_secret_key|crypto/bls/src/generic_secret_key.rs|10|1const,7fn,1struct,1trait|
bls|generic_signature|crypto/bls/src/generic_signature.rs|18|5const,11fn,1struct,1trait|
bls|generic_signature_bytes|crypto/bls/src/generic_signature_bytes.rs|5|4fn,1struct|
bls|generic_signature_set|crypto/bls/src/generic_signature_set.rs|5|3fn,2struct|
bls|get_withdrawal_credentials|crypto/bls/src/get_withdrawal_credentials.rs|1|1fn|
bls|impls::blst|crypto/bls/src/impls/blst.rs|7|2const,1fn,1mod,2struct,1type|
bls|impls::fake_crypto|crypto/bls/src/impls/fake_crypto.rs|8|1fn,1mod,5struct,1type|
bls|impls|crypto/bls/src/impls/mod.rs|2|2mod|
bls||crypto/bls/src/lib.rs|4|1enum,2mod,1type|This library provides a wrapper around several BLS implementations to provide
bls|zeroize_hash|crypto/bls/src/zeroize_hash.rs|4|3fn,1struct|
boot_node|cli|boot_node/src/cli.rs|1|1fn|Simple logic for spawning a Lighthouse BootNode.
boot_node|config|boot_node/src/config.rs|4|2fn,2struct|
boot_node||boot_node/src/lib.rs|2|1fn,1mod|Creates a simple DISCV5 server which can be used to bootstrap an Eth2 network.
boot_node|server|boot_node/src/server.rs|1|1fn|The main bootnode server execution.
builder_client||beacon_node/builder_client/src/lib.rs|17|5const,10fn,2struct|
clap_utils|flags|common/clap_utils/src/flags.rs|1|1const|CLI flags used across the Lighthouse code base can be located here.
clap_utils||common/clap_utils/src/lib.rs|14|2const,11fn,1mod|A helper library for parsing values from `clap::ArgMatches`.
client|builder|beacon_node/client/src/builder.rs|18|1const,16fn,1struct|
client|compute_light_client_updates|beacon_node/client/src/compute_light_client_updates.rs|2|1const,1fn|
client|config|beacon_node/client/src/config.rs|13|1enum,11fn,1struct|
client||beacon_node/client/src/lib.rs|8|5fn,2mod,1struct|
client|notifier|beacon_node/client/src/notifier.rs|9|3const,5fn,1struct|
database_manager|cli|database_manager/src/cli.rs|9|1enum,8struct|
database_manager||database_manager/src/lib.rs|14|1enum,8fn,1mod,4struct|
deposit_contract||common/deposit_contract/src/lib.rs|9|5const,1enum,2fn,1mod|
directory||common/directory/src/lib.rs|12|8const,4fn|
doppelganger_service||validator_client/doppelganger_service/src/lib.rs|6|1const,3fn,2struct|The "Doppelganger" service is an **imperfect** mechanism to try and prevent the validator client
ef_tests|bls_setting|testing/ef_tests/src/bls_setting.rs|2|1enum,1fn|
ef_tests|case_result|testing/ef_tests/src/case_result.rs|6|1const,4fn,1struct|
ef_tests|cases|testing/ef_tests/src/cases.rs|7|1enum,3fn,1struct,2trait|
ef_tests|cases::bls_aggregate_sigs|testing/ef_tests/src/cases/bls_aggregate_sigs.rs|1|1struct|
ef_tests|cases::bls_aggregate_verify|testing/ef_tests/src/cases/bls_aggregate_verify.rs|2|2struct|
ef_tests|cases::bls_batch_verify|testing/ef_tests/src/cases/bls_batch_verify.rs|2|2struct|
ef_tests|cases::bls_eth_aggregate_pubkeys|testing/ef_tests/src/cases/bls_eth_aggregate_pubkeys.rs|1|1struct|
ef_tests|cases::bls_eth_fast_aggregate_verify|testing/ef_tests/src/cases/bls_eth_fast_aggregate_verify.rs|2|2struct|
ef_tests|cases::bls_fast_aggregate_verify|testing/ef_tests/src/cases/bls_fast_aggregate_verify.rs|2|2struct|
ef_tests|cases::bls_sign_msg|testing/ef_tests/src/cases/bls_sign_msg.rs|2|2struct|
ef_tests|cases::bls_verify_msg|testing/ef_tests/src/cases/bls_verify_msg.rs|2|2struct|
ef_tests|cases::common|testing/ef_tests/src/cases/common.rs|1|1trait|
ef_tests|cases::compute_columns_for_custody_groups|testing/ef_tests/src/cases/compute_columns_for_custody_groups.rs|1|1struct|
ef_tests|cases::epoch_processing|testing/ef_tests/src/cases/epoch_processing.rs|21|20struct,1trait|
ef_tests|cases::fork|testing/ef_tests/src/cases/fork.rs|2|2struct|
ef_tests|cases::fork_choice|testing/ef_tests/src/cases/fork_choice.rs|28|1const,1enum,18fn,8struct|
ef_tests|cases::genesis_initialization|testing/ef_tests/src/cases/genesis_initialization.rs|1|1struct|
ef_tests|cases::genesis_validity|testing/ef_tests/src/cases/genesis_validity.rs|2|2struct|
ef_tests|cases::get_custody_groups|testing/ef_tests/src/cases/get_custody_groups.rs|1|1struct|
ef_tests|cases::kzg_blob_to_kzg_commitment|testing/ef_tests/src/cases/kzg_blob_to_kzg_commitment.rs|2|2struct|
ef_tests|cases::kzg_compute_blob_kzg_proof|testing/ef_tests/src/cases/kzg_compute_blob_kzg_proof.rs|2|2struct|
ef_tests|cases::kzg_compute_cells|testing/ef_tests/src/cases/kzg_compute_cells.rs|2|2struct|
ef_tests|cases::kzg_compute_cells_and_kzg_proofs|testing/ef_tests/src/cases/kzg_compute_cells_and_kzg_proofs.rs|2|2struct|
ef_tests|cases::kzg_compute_kzg_proof|testing/ef_tests/src/cases/kzg_compute_kzg_proof.rs|3|1fn,2struct|
ef_tests|cases::kzg_recover_cells_and_kzg_proofs|testing/ef_tests/src/cases/kzg_recover_cells_and_kzg_proofs.rs|2|2struct|
ef_tests|cases::kzg_verify_blob_kzg_proof|testing/ef_tests/src/cases/kzg_verify_blob_kzg_proof.rs|8|6fn,2struct|
ef_tests|cases::kzg_verify_blob_kzg_proof_batch|testing/ef_tests/src/cases/kzg_verify_blob_kzg_proof_batch.rs|2|2struct|
ef_tests|cases::kzg_verify_cell_kzg_proof_batch|testing/ef_tests/src/cases/kzg_verify_cell_kzg_proof_batch.rs|2|2struct|
ef_tests|cases::kzg_verify_kzg_proof|testing/ef_tests/src/cases/kzg_verify_kzg_proof.rs|2|2struct|
ef_tests|cases::light_client_verify_is_better_update|testing/ef_tests/src/cases/light_client_verify_is_better_update.rs|2|2struct|
ef_tests|cases::merkle_proof_validity|testing/ef_tests/src/cases/merkle_proof_validity.rs|7|2enum,5struct|
ef_tests|cases::operations|testing/ef_tests/src/cases/operations.rs|4|3struct,1trait|
ef_tests|cases::rewards|testing/ef_tests/src/cases/rewards.rs|5|5struct|
ef_tests|cases::sanity_blocks|testing/ef_tests/src/cases/sanity_blocks.rs|2|2struct|
ef_tests|cases::sanity_slots|testing/ef_tests/src/cases/sanity_slots.rs|2|2struct|
ef_tests|cases::shuffling|testing/ef_tests/src/cases/shuffling.rs|1|1struct|
ef_tests|cases::ssz_generic|testing/ef_tests/src/cases/ssz_generic.rs|1|1struct|
ef_tests|cases::ssz_static|testing/ef_tests/src/cases/ssz_static.rs|5|2fn,3struct|
ef_tests|cases::transition|testing/ef_tests/src/cases/transition.rs|2|2struct|
ef_tests|decode|testing/ef_tests/src/decode.rs|10|10fn|
ef_tests|error|testing/ef_tests/src/error.rs|4|1enum,3fn|
ef_tests|handler|testing/ef_tests/src/handler.rs|61|21fn,39struct,1trait|
ef_tests||testing/ef_tests/src/lib.rs|1|1fn|
ef_tests|results|testing/ef_tests/src/results.rs|3|3fn|
ef_tests|type_name|testing/ef_tests/src/type_name.rs|1|1trait|Mapping from types to canonical string identifiers used in testing.
eip_3076||common/eip_3076/src/lib.rs|13|1enum,7fn,5struct|
environment||lighthouse/environment/src/lib.rs|23|1const,17fn,1mod,4struct|This crate aims to provide a common set of tools that can be used to create a "environment" to
environment|tracing_common|lighthouse/environment/src/tracing_common.rs|2|2fn|
eth2|beacon_response|common/eth2/src/beacon_response.rs|13|1enum,7fn,4struct,1type|
eth2|error|common/eth2/src/error.rs|9|2enum,4fn,3struct|Centralized error handling for eth2 API clients
eth2||common/eth2/src/lib.rs|155|11const,136fn,6mod,2struct|This crate provides two major things:
eth2|lighthouse|common/eth2/src/lighthouse.rs|19|12fn,1mod,6struct|This module contains endpoints that are non-standard and only available on Lighthouse servers.
eth2|lighthouse::attestation_performance|common/eth2/src/lighthouse/attestation_performance.rs|4|1fn,3struct|
eth2|lighthouse::block_packing_efficiency|common/eth2/src/lighthouse/block_packing_efficiency.rs|4|4struct|
eth2|lighthouse::custody|common/eth2/src/lighthouse/custody.rs|1|1struct|
eth2|lighthouse::sync_state|common/eth2/src/lighthouse/sync_state.rs|7|3enum,4fn|
eth2|lighthouse_vc::http_client|common/eth2/src/lighthouse_vc/http_client.rs|38|1enum,36fn,1struct|
eth2|lighthouse_vc|common/eth2/src/lighthouse_vc/mod.rs|3|3mod|
eth2|lighthouse_vc::std_types|common/eth2/src/lighthouse_vc/std_types.rs|26|4enum,2fn,20struct|
eth2|lighthouse_vc::types|common/eth2/src/lighthouse_vc/types.rs|16|16struct|
eth2|mixin|common/eth2/src/mixin.rs|3|3trait|
eth2|types|common/eth2/src/types.rs|136|17enum,23fn,2mod,89struct,5type|This module exposes a superset of the `types` crate. It adds additional types that are only
eth2_config||common/eth2_config/src/lib.rs|12|3const,1enum,5fn,3struct|This crate primarily exists to serve the `common/eth2_network_configs` crate, by providing the
eth2_interop_keypairs||common/eth2_interop_keypairs/src/lib.rs|6|3const,3fn|Produces the "deterministic" validator private keys used for inter-operability testing for
eth2_key_derivation|derived_key|crypto/eth2_key_derivation/src/derived_key.rs|9|4const,1enum,3fn,1struct|
eth2_key_derivation|lamport_secret_key|crypto/eth2_key_derivation/src/lamport_secret_key.rs|5|4fn,1struct|
eth2_key_derivation|plain_text|crypto/eth2_key_derivation/src/plain_text.rs|6|5fn,1struct|
eth2_key_derivation|secret_bytes|crypto/eth2_key_derivation/src/secret_bytes.rs|4|3fn,1struct|
eth2_keystore|derived_key|crypto/eth2_keystore/src/derived_key.rs|4|3fn,1struct|
eth2_keystore|json_keystore::checksum_module|crypto/eth2_keystore/src/json_keystore/checksum_module.rs|5|1enum,1fn,3struct|Defines the JSON representation of the "checksum" module.
eth2_keystore|json_keystore::cipher_module|crypto/eth2_keystore/src/json_keystore/cipher_module.rs|5|2enum,1fn,2struct|Defines the JSON representation of the "cipher" module.
eth2_keystore|json_keystore::hex_bytes|crypto/eth2_keystore/src/json_keystore/hex_bytes.rs|4|3fn,1struct|
eth2_keystore|json_keystore::kdf_module|crypto/eth2_keystore/src/json_keystore/kdf_module.rs|10|3enum,3fn,4struct|Defines the JSON representation of the "kdf" module.
eth2_keystore|json_keystore|crypto/eth2_keystore/src/json_keystore/mod.rs|4|1enum,1fn,2struct|This module intends to separate the JSON representation of the keystore from the actual crypto
eth2_keystore|keystore|crypto/eth2_keystore/src/keystore.rs|29|5const,1enum,21fn,2struct|Provides a JSON keystore for a BLS keypair, as specified by
eth2_keystore||crypto/eth2_keystore/src/lib.rs|1|1mod|Provides a JSON keystore for a BLS keypair, as specified by
eth2_network_config||common/eth2_network_config/src/lib.rs|18|5const,1enum,11fn,1struct|Provides the `Eth2NetworkConfig` struct which defines the configuration of an eth2 network or
eth2_wallet|json_wallet|crypto/eth2_wallet/src/json_wallet/mod.rs|4|2enum,1fn,1struct|
eth2_wallet||crypto/eth2_wallet/src/lib.rs|1|1mod|
eth2_wallet|validator_path|crypto/eth2_wallet/src/validator_path.rs|6|2const,1enum,2fn,1struct|
eth2_wallet|wallet|crypto/eth2_wallet/src/wallet.rs|20|1enum,16fn,3struct|
eth2_wallet_manager|filesystem|common/eth2_wallet_manager/src/filesystem.rs|4|1enum,3fn|Provides some CRUD functions for wallets on the filesystem.
eth2_wallet_manager|locked_wallet|common/eth2_wallet_manager/src/locked_wallet.rs|5|1const,3fn,1struct|
eth2_wallet_manager|wallet_manager|common/eth2_wallet_manager/src/wallet_manager.rs|7|2enum,4fn,1struct|
execution_engine_integration|build_utils|testing/execution_engine_integration/src/build_utils.rs|7|7fn|
execution_engine_integration|execution_engine|testing/execution_engine_integration/src/execution_engine.rs|10|4const,4fn,1struct,1trait|
execution_engine_integration|genesis_json|testing/execution_engine_integration/src/genesis_json.rs|2|2fn|
execution_engine_integration|geth|testing/execution_engine_integration/src/geth.rs|4|3fn,1struct|
execution_engine_integration|nethermind|testing/execution_engine_integration/src/nethermind.rs|2|1fn,1struct|
execution_engine_integration|test_rig|testing/execution_engine_integration/src/test_rig.rs|6|5fn,1struct|
execution_engine_integration|transactions|testing/execution_engine_integration/src/transactions.rs|4|1const,1enum,2fn|
execution_layer|block_hash|beacon_node/execution_layer/src/block_hash.rs|3|3fn|
execution_layer|engine_api|beacon_node/execution_layer/src/engine_api.rs|30|1const,6enum,9fn,3mod,10struct,1type|
execution_layer|engine_api::auth|beacon_node/execution_layer/src/engine_api/auth.rs|14|1const,1enum,9fn,3struct|
execution_layer|engine_api::http|beacon_node/execution_layer/src/engine_api/http.rs|76|35const,37fn,2mod,2struct|Contains an implementation of `EngineAPI` using the JSON-RPC API via HTTP.
execution_layer|engine_api::json_structures|beacon_node/execution_layer/src/engine_api/json_structures.rs|23|2enum,1mod,19struct,1type|
execution_layer|engine_api::new_payload_request|beacon_node/execution_layer/src/engine_api/new_payload_request.rs|9|8fn,1struct|
execution_layer|engines|beacon_node/execution_layer/src/engines.rs|17|2enum,13fn,2struct|Provides generic behaviour for multiple execution engines, specifically fallback behaviour.
execution_layer|keccak|beacon_node/execution_layer/src/keccak.rs|2|1fn,1struct|
execution_layer||beacon_node/execution_layer/src/lib.rs|65|2const,7enum,44fn,4mod,8struct|This crate provides an abstraction over one or more *execution engines*. An execution engine
execution_layer|metrics|beacon_node/execution_layer/src/metrics.rs|15|13const,2fn|
execution_layer|payload_cache|beacon_node/execution_layer/src/payload_cache.rs|5|1const,3fn,1struct|
execution_layer|payload_status|beacon_node/execution_layer/src/payload_status.rs|2|1enum,1fn|
execution_layer|test_utils::execution_block_generator|beacon_node/execution_layer/src/test_utils/execution_block_generator.rs|45|1const,1enum,41fn,2struct|
execution_layer|test_utils::handle_rpc|beacon_node/execution_layer/src/test_utils/handle_rpc.rs|5|4const,1fn|
execution_layer|test_utils::hook|beacon_node/execution_layer/src/test_utils/hook.rs|3|2fn,1struct|
execution_layer|test_utils::mock_builder|beacon_node/execution_layer/src/test_utils/mock_builder.rs|19|3const,1enum,12fn,2struct,1trait|
execution_layer|test_utils::mock_execution_layer|beacon_node/execution_layer/src/test_utils/mock_execution_layer.rs|5|4fn,1struct|
execution_layer|test_utils|beacon_node/execution_layer/src/test_utils/mod.rs|48|4const,1enum,38fn,5struct|Provides a mock execution engine HTTP JSON-RPC API for use in testing.
execution_layer|versioned_hashes|beacon_node/execution_layer/src/versioned_hashes.rs|4|1enum,3fn|
filesystem||common/filesystem/src/lib.rs|3|1enum,2fn|
fixed_bytes||consensus/fixed_bytes/src/lib.rs|6|2trait,4type|
fork_choice|fork_choice|consensus/fork_choice/src/fork_choice.rs|52|6enum,40fn,5struct,1type|
fork_choice|fork_choice_store|consensus/fork_choice/src/fork_choice_store.rs|1|1trait|
fork_choice|metrics|consensus/fork_choice/src/metrics.rs|1|1fn|
genesis|common|beacon_node/genesis/src/common.rs|1|1fn|
